#EXPORTTYPE:                 	DATA ALL                                                                                                                            
#FILE:                       	20260224_Mg_SiO2_stoich_loose_Ar_5Kmin_check.ngb-ss5                                                                                
#FORMAT:                     	NETZSCH5                                                                                                                            
#FTYPE:                      	ASCII                                                                                                                               
#IDENTITY:                   	Mg-SiO2                                                                                                                             
#DECIMAL:                    	POINT                                                                                                                               
#SEPARATOR:                  	TAB                                                                                                                                 
#MTYPE:                      	DTA                                                                                                                                 
#INSTRUMENT:                 	NETZSCH STA 449F5                                                                                                                   
#PROJECT:                    	THREAD                                                                                                                              
#DATE/TIME:                  	06/03/2026 18:57:57 (UTC+1)                                                                                                         
#CORR. FILE:                 	                                                                                                                                    
#TEMPCAL:                    	20260212_DTATG_CAL_AR_5KMIN_quadratic_T.ngb-ts5                                                                                     
#SENSITIVITY:                	20260212_5Kmin_DTATG_Ar_sens.ngb-es5                                                                                                
#LABORATORY:                 	Politecnico Milano                                                                                                                  
#OPERATOR:                   	Zanardi                                                                                                                             
#REMARK:                     	Mg + SiO2 stoichiometric, loose powder  heating program: 5 K/min Ar 0 50 20  T_start=25 ›C T_end = 850›C  m_sample_mettler = 0.01477
#SAMPLE:                     	Mg_SiO2 loose                                                                                                                       
#SAMPLE MASS /mg:            	14.5875                                                                                                                             
#MATERIAL:                   	Mg_Sio2_thermite                                                                                                                    
#REFERENCE:                  	Al2O3                                                                                                                               
#REFERENCE MASS /mg:         	0                                                                                                                                   
#TYPE OF CRUCIBLE:           	DTA/TG crucible Al2O3                                                                                                               
#SAMPLE CRUCIBLE MASS /mg:   	0                                                                                                                                   
#REFERENCE CRUCIBLE MASS /mg:	0                                                                                                                                   
#TG RANGE /mg:               	35000                                                                                                                               
#TAU-R:                      	---                                                                                                                                 
#CORR. CODE:                 	000                                                                                                                                 
#EXO:                        	+1                                                                                                                                  
#RANGE:                      	25›C....1200›C/0,0....20,0K/min                                                                                                     
#SEGMENT:                    	S1-3/3                                                                                                                              
#SEG. 1:                     	25›C/5,0(K/min)/850›C                                                                                                               
#SEG. 2:                     	850›C/00:10/850›C                                                                                                                   
#SEG. 3:                     	850›C/20,0(K/min)/1200›C                                                                                                            

##Temp./›C	Time/min	DTA/(mW/mg)	Mass/%	Gas Flow(purge1)/(ml/min)	Gas Flow(purge2)/(ml/min)	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)	Segment
  19.65300	  0.00000	 1.04049	100.00000	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65300	  0.01000	 1.04083	100.00069	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65300	  0.02000	 1.04083	100.00137	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65300	  0.03000	 1.03355	100.00137	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65300	  0.04000	 1.04016	100.00206	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65300	  0.05000	 1.04083	100.00274	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65300	  0.06000	 1.04083	100.00274	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65300	  0.07000	 1.04083	100.00343	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65300	  0.08000	 1.04083	100.00411	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65300	  0.09000	 1.03829	100.00480	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65300	  0.10000	 1.04066	100.00480	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65300	  0.11000	 1.04083	100.00548	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65300	  0.12000	 1.04083	100.00617	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65300	  0.13000	 1.04083	100.00686	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65200	  0.14000	 1.04083	100.00754	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65200	  0.15000	 1.04083	100.00823	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65200	  0.16000	 1.04083	100.00823	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65200	  0.17000	 1.04083	100.00823	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65200	  0.18000	 1.04083	100.00891	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65200	  0.19000	 1.04083	100.00891	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65200	  0.20000	 1.04083	100.00891	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65200	  0.21000	 1.03982	100.00891	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65200	  0.22000	 1.03914	100.00891	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65200	  0.23000	 1.03694	100.00891	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65200	  0.24000	 1.04049	100.00891	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65200	  0.25000	 1.04083	100.00891	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65200	  0.26000	 1.03405	100.00891	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65200	  0.27000	 1.04032	100.00891	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65200	  0.28000	 1.04083	100.00960	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65100	  0.29000	 1.04083	100.00960	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65100	  0.30000	 1.04083	100.00960	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65100	  0.31000	 1.03727	100.01028	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65100	  0.32000	 1.03490	100.01028	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65100	  0.33000	 1.04032	100.01165	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65100	  0.34000	 1.04083	100.01302	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65100	  0.35000	 1.04083	100.01440	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65100	  0.36000	 1.04083	100.01577	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65100	  0.37000	 1.03524	100.01714	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65100	  0.38000	 1.04032	100.01782	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65100	  0.39000	 1.04083	100.01919	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65100	  0.40000	 1.03710	100.01988	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65100	  0.41000	 1.04049	100.02125	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65100	  0.42000	 1.04016	100.02194	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65100	  0.43000	 1.04083	100.02331	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65100	  0.44000	 1.03829	100.02399	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65000	  0.45000	 1.03710	100.02468	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65000	  0.46000	 1.03948	100.02605	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65000	  0.47000	 1.03914	100.02742	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65000	  0.48000	 1.03575	100.02879	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65000	  0.49000	 1.03965	100.03016	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65000	  0.50000	 1.04083	100.03153	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65000	  0.51000	 1.04083	100.03290	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65000	  0.52000	 1.03914	100.03428	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65000	  0.53000	 1.03507	100.03565	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65000	  0.54000	 1.04032	100.03633	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65000	  0.55000	 1.04083	100.03770	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.65000	  0.56000	 1.04083	100.03907	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.57000	 1.03812	100.04045	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.58000	 1.04066	100.04113	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.59000	 1.04083	100.04250	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.60000	 1.04083	100.04387	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.61000	 1.04083	100.04456	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.62000	 1.03982	100.04730	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.63000	 1.04083	100.05004	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.64000	 1.04083	100.05347	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.65000	 1.04083	100.05621	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.66000	 1.03524	100.05964	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.67000	 1.04032	100.06170	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.68000	 1.04083	100.06375	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.69000	 1.04083	100.06512	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.70000	 1.04083	100.06581	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.71000	 1.04083	100.06650	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.72000	 1.04083	100.06650	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64900	  0.73000	 1.04083	100.06718	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64800	  0.74000	 1.04083	100.06855	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64800	  0.75000	 1.04083	100.06924	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64800	  0.76000	 1.04083	100.07061	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64800	  0.77000	 1.04083	100.07198	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64800	  0.78000	 1.04083	100.07472	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64800	  0.79000	 1.04083	100.07678	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64800	  0.80000	 1.04083	100.07952	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64800	  0.81000	 1.04083	100.08226	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64800	  0.82000	 1.04083	100.08432	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64800	  0.83000	 1.04083	100.08706	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64800	  0.84000	 1.04083	100.08912	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64800	  0.85000	 1.04083	100.09049	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64800	  0.86000	 1.03710	100.09254	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64700	  0.87000	 1.04049	100.09392	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64700	  0.88000	 1.04083	100.09529	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64700	  0.89000	 1.04083	100.09666	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64700	  0.90000	 1.04083	100.09803	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64700	  0.91000	 1.04083	100.09940	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64700	  0.92000	 1.04083	100.10077	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64700	  0.93000	 1.04083	100.10283	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64700	  0.94000	 1.04083	100.10420	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  0.95000	 1.03829	100.10626	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  0.96000	 1.04066	100.10763	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  0.97000	 1.04083	100.10968	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  0.98000	 1.04083	100.11448	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  0.99000	 1.04083	100.11654	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  1.00000	 1.04083	100.11928	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  1.01000	 1.04083	100.12134	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  1.02000	 1.04083	100.12339	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  1.03000	 1.04083	100.12545	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  1.04000	 1.04083	100.12751	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  1.05000	 1.04083	100.12956	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  1.06000	 1.04083	100.13093	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  1.07000	 1.04083	100.13231	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  1.08000	 1.04083	100.13368	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  1.09000	 1.04083	100.13642	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.10000	 1.04083	100.13916	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.11000	 1.04083	100.14259	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  1.12000	 1.04083	100.14602	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64600	  1.13000	 1.04083	100.14807	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.14000	 1.04083	100.15081	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.15000	 1.04083	100.15287	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.16000	 1.04083	100.15493	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.17000	 1.04083	100.15835	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.18000	 1.04083	100.16178	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.19000	 1.04083	100.16521	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.20000	 1.04083	100.16864	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.21000	 1.04083	100.17207	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.22000	 1.04083	100.17412	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.23000	 1.04083	100.17686	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.24000	 1.04083	100.18029	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.25000	 1.04083	100.18303	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.26000	 1.04083	100.18646	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.27000	 1.04083	100.18989	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.28000	 1.04083	100.19400	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64500	  1.29000	 1.04083	100.19880	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64400	  1.30000	 1.04083	100.20360	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64400	  1.31000	 1.04083	100.20771	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64400	  1.32000	 1.04083	100.21183	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64400	  1.33000	 1.04083	100.21525	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64400	  1.34000	 1.04083	100.21868	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64400	  1.35000	 1.04083	100.22005	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64400	  1.36000	 1.04083	100.22279	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64400	  1.37000	 1.04083	100.22554	0.000000e+000	     50.00000	20.00000	0.30858	1
  20.04500	  1.38000	 1.04087	100.22828	0.000000e+000	     50.00000	20.00000	0.30857	1
  19.64400	  1.39000	 1.04083	100.23033	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64400	  1.40000	 1.04083	100.23787	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64400	  1.41000	 1.04083	100.24336	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64400	  1.42000	 1.04083	100.24816	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64400	  1.43000	 1.04083	100.24953	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64400	  1.44000	 1.04083	100.25021	0.000000e+000	     50.00000	20.00000	0.30858	1
  20.04500	  1.45000	 1.04087	100.25159	0.000000e+000	     50.00000	20.00000	0.30857	1
  19.64400	  1.46000	 1.04083	100.25433	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64400	  1.47000	 1.04083	100.25638	0.000000e+000	     50.00000	20.00000	0.30858	1
  20.04500	  1.48000	 1.04087	100.25913	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04400	  1.49000	 1.04087	100.26187	0.000000e+000	     50.00000	20.00000	0.30857	1
  19.64400	  1.50000	 1.04083	100.26530	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64400	  1.51000	 1.04083	100.26804	0.000000e+000	     50.00000	20.00000	0.30858	1
  20.04500	  1.52000	 1.04087	100.27489	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04500	  1.53000	 1.04087	100.27832	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04400	  1.54000	 1.04087	100.28243	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04400	  1.55000	 1.04087	100.28586	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04400	  1.56000	 1.04087	100.28929	0.000000e+000	     50.00000	20.00000	0.30857	1
  19.64300	  1.57000	 1.04083	100.29340	0.000000e+000	     50.00000	20.00000	0.30858	1
  19.64300	  1.58000	 1.04083	100.29751	0.000000e+000	     50.00000	20.00000	0.30858	1
  20.04400	  1.59000	 1.04087	100.30094	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04400	  1.60000	 1.04087	100.30437	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04400	  1.61000	 1.04087	100.30780	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04400	  1.62000	 1.04087	100.30985	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04400	  1.63000	 1.04087	100.31328	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04400	  1.64000	 1.04087	100.31671	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04400	  1.65000	 1.04087	100.32219	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04400	  1.66000	 1.04087	100.32768	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04400	  1.67000	 1.04087	100.33179	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04400	  1.68000	 1.04087	100.33248	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04400	  1.69000	 1.04087	100.33316	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04300	  1.70000	 1.04087	100.33590	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04300	  1.71000	 1.04087	100.33865	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04300	  1.72000	 1.04087	100.34139	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04300	  1.73000	 1.04087	100.34344	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04300	  1.74000	 1.04087	100.34687	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04300	  1.75000	 1.04087	100.35030	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04300	  1.76000	 1.04087	100.35784	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04300	  1.77000	 1.04087	100.36195	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04300	  1.78000	 1.04087	100.36607	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04300	  1.79000	 1.04087	100.36949	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04300	  1.80000	 1.04087	100.37292	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04300	  1.81000	 1.04087	100.37635	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.82000	 1.04087	100.37978	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.83000	 1.04087	100.38800	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.84000	 1.04087	100.39623	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.85000	 1.04087	100.40034	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.86000	 1.04087	100.40103	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.87000	 1.04087	100.40377	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.88000	 1.04087	100.40720	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.89000	 1.04087	100.41131	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.90000	 1.04087	100.41817	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.91000	 1.04087	100.42502	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.92000	 1.04087	100.43051	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.93000	 1.04087	100.43462	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.94000	 1.04087	100.43873	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.95000	 1.04087	100.44147	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.96000	 1.04087	100.44490	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.97000	 1.04087	100.45518	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.98000	 1.04087	100.46341	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  1.99000	 1.04087	100.46478	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  2.00000	 1.04087	100.46821	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  2.01000	 1.04087	100.47369	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  2.02000	 1.04087	100.47849	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  2.03000	 1.04087	100.48466	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04200	  2.04000	 1.04087	100.49083	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04100	  2.05000	 1.04087	100.49563	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04100	  2.06000	 1.04087	100.50454	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04100	  2.07000	 1.04087	100.51208	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04100	  2.08000	 1.04087	100.51277	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04100	  2.09000	 1.04087	100.51551	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04100	  2.10000	 1.04087	100.52031	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04100	  2.11000	 1.04087	100.52579	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04100	  2.12000	 1.04087	100.53196	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.04100	  2.13000	 1.04087	100.53676	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.44100	  2.14000	 1.04091	100.54225	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.15000	 1.04091	100.55253	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.04100	  2.16000	 1.04087	100.56418	0.000000e+000	     50.00000	20.00000	0.30857	1
  20.44100	  2.17000	 1.04091	100.56761	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.18000	 1.04091	100.56829	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.19000	 1.04091	100.57241	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.20000	 1.04091	100.58132	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.21000	 1.04091	100.58680	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.22000	 1.04091	100.59092	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.23000	 1.04091	100.59434	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.24000	 1.04091	100.59846	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.25000	 1.04091	100.60326	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.26000	 1.04091	100.61560	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.27000	 1.04091	100.62245	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.28000	 1.04091	100.62314	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.29000	 1.04091	100.62793	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.30000	 1.04091	100.63410	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.31000	 1.04091	100.63959	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.32000	 1.04091	100.64507	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.33000	 1.04091	100.64987	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44100	  2.34000	 1.04091	100.65604	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44000	  2.35000	 1.04091	100.66495	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44000	  2.36000	 1.04091	100.67044	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44000	  2.37000	 1.04091	100.67112	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44000	  2.38000	 1.04091	100.67524	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44000	  2.39000	 1.04091	100.67935	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44000	  2.40000	 1.04091	100.68552	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44000	  2.41000	 1.04091	100.69374	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44000	  2.42000	 1.04091	100.70129	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44000	  2.43000	 1.04091	100.70746	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44000	  2.44000	 1.04091	100.71157	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44000	  2.45000	 1.04091	100.72185	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44000	  2.46000	 1.04091	100.73145	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44000	  2.47000	 1.04091	100.73282	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44000	  2.48000	 1.04091	100.73830	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.44000	  2.49000	 1.04091	100.74584	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.43900	  2.50000	 1.04091	100.75133	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.83900	  2.51000	 1.04095	100.75613	0.000000e+000	     50.00000	20.00000	0.30855	1
  20.43900	  2.52000	 1.04091	100.76298	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.43900	  2.53000	 1.04091	100.76984	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.43900	  2.54000	 1.04091	100.78012	0.000000e+000	     50.00000	20.00000	0.30856	1
  20.83900	  2.55000	 1.04095	100.78698	0.000000e+000	     50.00000	20.00000	0.30855	1
  20.83900	  2.56000	 1.04095	100.78698	0.000000e+000	     50.00000	20.00000	0.30855	1
  20.83900	  2.57000	 1.04095	100.78972	0.000000e+000	     50.00000	20.00000	0.30855	1
  20.83900	  2.58000	 1.04095	100.79863	0.000000e+000	     50.00000	20.00000	0.30855	1
  20.83900	  2.59000	 1.04095	100.80411	0.000000e+000	     50.00000	20.00000	0.30855	1
  20.83900	  2.60000	 1.04095	100.80960	0.000000e+000	     50.00000	20.00000	0.30855	1
